layer,layer_idx,fold,train_acc,test_acc,test_auc,test_loss
embed,0,0,0.7387083172798157,0.7419999837875366,0.5483986261173519,0.45072314143180847
embed,0,1,0.731374979019165,0.7276666760444641,0.5888021936294198,0.42808255553245544
embed,0,2,0.7418333292007446,0.7354999780654907,0.548403769008303,0.43867942690849304
embed,0,3,0.7484166622161865,0.7416666746139526,0.538138632801084,0.43731197714805603
embed,0,4,0.7329999804496765,0.7293333411216736,0.5919454164000987,0.42959830164909363
blk0,1,0,0.9781249761581421,0.968833327293396,0.546382835759549,0.16918660700321198
blk0,1,1,0.9912499785423279,0.9779999852180481,0.592502665361978,0.1291421353816986
blk0,1,2,0.9821666479110718,0.9698333144187927,0.5467189103461144,0.15201127529144287
blk0,1,3,0.9854999780654907,0.9723333120346069,0.5711451774312105,0.16522863507270813
blk0,1,4,0.9770416617393494,0.9623333215713501,0.6038650278243403,0.16884353756904602
blk1,2,0,0.9905416369438171,0.9791666269302368,0.5597285116390449,0.1289539635181427
blk1,2,1,0.9882082939147949,0.9754999876022339,0.574706810182413,0.1519917994737625
blk1,2,2,0.9877499938011169,0.971833348274231,0.5836663867898125,0.16395314037799835
blk1,2,3,0.9882500171661377,0.972000002861023,0.5609902258591118,0.15667177736759186
blk1,2,4,0.9825000166893005,0.9693333506584167,0.6355350958393944,0.1374737173318863
blk2,3,0,0.9862083196640015,0.9739999771118164,0.6139689982880079,0.1374121904373169
blk2,3,1,0.9742500185966492,0.9611666798591614,0.6190157146821282,0.18521703779697418
blk2,3,2,0.9926666617393494,0.9794999957084656,0.5832633641197873,0.11066395789384842
blk2,3,3,0.9920833110809326,0.9760000109672546,0.5770137947932257,0.13600216805934906
blk2,3,4,0.9819583296775818,0.9668332934379578,0.6462645331694015,0.13758274912834167
blk3,4,0,0.9548749923706055,0.9383333325386047,0.5943507832632214,0.17905203998088837
blk3,4,1,0.9732083082199097,0.9626666307449341,0.6370397686611851,0.1281435340642929
blk3,4,2,0.9791249632835388,0.9629999995231628,0.6339733184065678,0.12290230393409729
blk3,4,3,0.9780416488647461,0.9613333344459534,0.6347730338803428,0.1364356130361557
blk3,4,4,0.9552916288375854,0.9398333430290222,0.6500745199095039,0.17458957433700562
blk4,5,0,0.9734583497047424,0.9595000147819519,0.5390344936041546,0.15559639036655426
blk4,5,1,0.9749166369438171,0.9603333473205566,0.5999072600078865,0.14123384654521942
