block,neuron_idx,rank,score,abs_score
8,1317,8,-0.557142972946167,0.557142972946167
8,1971,9,-0.5533292889595032,0.5533292889595032
8,542,10,0.5412082076072693,0.5412082076072693
8,749,11,0.5319022536277771,0.5319022536277771
8,214,12,-0.5253265500068665,0.5253265500068665
8,253,13,-0.5246580243110657,0.5246580243110657
8,1116,14,0.5165137052536011,0.5165137052536011
8,1132,15,0.5161731839179993,0.5161731839179993
8,791,16,-0.510361909866333,0.510361909866333
8,763,17,0.49664902687072754,0.49664902687072754
8,1549,18,0.49611490964889526,0.49611490964889526
8,228,19,-0.4933511018753052,0.4933511018753052
9,1312,0,0.6890128254890442,0.6890128254890442
9,1320,1,0.6487569808959961,0.6487569808959961
9,444,2,0.5937363505363464,0.5937363505363464
9,589,3,0.5729962587356567,0.5729962587356567
9,1615,4,-0.5569758415222168,0.5569758415222168
9,270,5,-0.5382266044616699,0.5382266044616699
9,1968,6,-0.5340628623962402,0.5340628623962402
9,1791,7,-0.514311671257019,0.514311671257019
9,1859,8,0.5096141695976257,0.5096141695976257
9,1525,9,-0.5088203549385071,0.5088203549385071
9,591,10,-0.4824194312095642,0.4824194312095642
9,1389,11,0.48102959990501404,0.48102959990501404
9,286,12,-0.4771239459514618,0.4771239459514618
9,325,13,-0.4764881134033203,0.4764881134033203
9,13,14,-0.4737044870853424,0.4737044870853424
9,1066,15,-0.4733006954193115,0.4733006954193115
9,255,16,0.46909430623054504,0.46909430623054504
9,1075,17,-0.46154823899269104,0.46154823899269104
9,1129,18,-0.4558693468570709,0.4558693468570709
9,1576,19,0.4539022445678711,0.4539022445678711
10,1811,0,-0.7913947105407715,0.7913947105407715
10,885,1,-0.7402099370956421,0.7402099370956421
10,1259,2,-0.6656770706176758,0.6656770706176758
10,113,3,0.6328883171081543,0.6328883171081543
10,909,4,-0.6310484409332275,0.6310484409332275
10,1782,5,0.6306318044662476,0.6306318044662476
10,92,6,0.6144089102745056,0.6144089102745056
10,220,7,0.6082702279090881,0.6082702279090881
10,1111,8,-0.57761549949646,0.57761549949646
10,688,9,0.5770158171653748,0.5770158171653748
10,972,10,0.5611711144447327,0.5611711144447327
10,960,11,0.5395799875259399,0.5395799875259399
10,417,12,0.5362775325775146,0.5362775325775146
10,240,13,-0.5343473553657532,0.5343473553657532
10,1622,14,0.5301830768585205,0.5301830768585205
10,1634,15,0.5290806889533997,0.5290806889533997
10,1861,16,0.5286603569984436,0.5286603569984436
10,116,17,-0.507758617401123,0.507758617401123
10,293,18,-0.5074431896209717,0.5074431896209717
10,950,19,0.506641685962677,0.506641685962677
11,1889,0,0.7792738676071167,0.7792738676071167
11,113,1,0.7182523608207703,0.7182523608207703
11,319,2,-0.7140963673591614,0.7140963673591614
11,1048,3,0.6880623698234558,0.6880623698234558
11,320,4,-0.6518852710723877,0.6518852710723877
11,1838,5,0.6448743343353271,0.6448743343353271
11,1207,6,0.6344470381736755,0.6344470381736755
11,80,7,-0.6289851665496826,0.6289851665496826
11,1636,8,0.6052398681640625,0.6052398681640625
11,1050,9,0.5971972942352295,0.5971972942352295
11,1764,10,0.5935314297676086,0.5935314297676086
11,1700,11,0.5902087688446045,0.5902087688446045
11,948,12,-0.5895677804946899,0.5895677804946899
11,93,13,0.5870400667190552,0.5870400667190552
11,478,14,0.5761706233024597,0.5761706233024597
11,659,15,-0.5744382739067078,0.5744382739067078
11,1293,16,-0.5701597929000854,0.5701597929000854
11,1465,17,-0.5655636787414551,0.5655636787414551
11,156,18,0.5517245531082153,0.5517245531082153
11,111,19,-0.5493702292442322,0.5493702292442322
