block,rank,neuron_idx,mean_abs_weight,mean_signed_weight
0,0,1148,0.3449096977710724,0.3449096977710724
0,1,621,0.3345654010772705,-0.3345654010772705
0,2,254,0.317598432302475,0.317598432302475
0,3,1152,0.30160781741142273,0.30160781741142273
0,4,1926,0.2924785614013672,-0.2924785614013672
0,5,1024,0.2754130959510803,0.2754130959510803
0,6,1757,0.2750738263130188,-0.2750738263130188
0,7,1492,0.2708209156990051,-0.2708209156990051
0,8,320,0.2680867910385132,0.2680867910385132
0,9,986,0.26665198802948,0.26665198802948
0,10,393,0.2659305930137634,0.2659305930137634
0,11,980,0.25125980377197266,-0.25125980377197266
0,12,1731,0.2510930895805359,0.2510930895805359
0,13,1933,0.24632172286510468,-0.24632172286510468
0,14,1299,0.2416912019252777,0.2416912019252777
0,15,1685,0.2403547465801239,0.2403547465801239
0,16,1816,0.23539333045482635,0.23539333045482635
0,17,1146,0.23496100306510925,-0.23496100306510925
0,18,371,0.23452059924602509,-0.23452059924602509
0,19,1423,0.23123106360435486,-0.23123106360435486
1,0,796,0.2622036635875702,0.2622036635875702
1,1,1924,0.2580260634422302,-0.2580260634422302
1,2,3,0.25568217039108276,-0.25568217039108276
1,3,2026,0.2523166537284851,-0.2523166537284851
1,4,948,0.2495810091495514,0.2495810091495514
1,5,228,0.24784056842327118,-0.24784056842327118
1,6,758,0.24501843750476837,0.24501843750476837
1,7,515,0.24450603127479553,-0.24450603127479553
1,8,1454,0.24167439341545105,-0.24167439341545105
1,9,746,0.2371249943971634,-0.2371249943971634
1,10,949,0.2366754561662674,-0.2366754561662674
1,11,413,0.2297779619693756,0.2297779619693756
1,12,1342,0.22674135863780975,-0.22674135863780975
1,13,769,0.2245047390460968,-0.2245047390460968
1,14,1696,0.22447535395622253,0.22447535395622253
1,15,1132,0.22346194088459015,0.22346194088459015
1,16,832,0.22271227836608887,-0.22271227836608887
1,17,1098,0.21021172404289246,-0.21021172404289246
1,18,705,0.20688286423683167,0.18652209639549255
1,19,1501,0.20332841575145721,-0.20332841575145721
2,0,2,0.2524958550930023,-0.2524958550930023
2,1,715,0.16162922978401184,-0.16162922978401184
2,2,1021,0.14423182606697083,0.14423182606697083
2,3,1408,0.14321564137935638,0.14321564137935638
2,4,1705,0.14067961275577545,0.14067961275577545
2,5,1000,0.1401340514421463,0.1401340514421463
2,6,1181,0.13749830424785614,0.13749830424785614
2,7,1384,0.13630709052085876,-0.13630709052085876
2,8,1138,0.13615986704826355,0.13615986704826355
