layer,layer_idx,fold,train_acc,test_acc,test_auc,test_loss
blk13,14,1,0.7934166789054871,0.7630000114440918,0.6568145638299426,0.4941089153289795
blk13,14,2,0.7944583296775818,0.7886666655540466,0.5695307398078179,0.4535532593727112
blk13,14,3,0.797166645526886,0.7796666622161865,0.6142830574669891,0.46514469385147095
blk13,14,4,0.7889583110809326,0.7768333554267883,0.6371434392099817,0.47667810320854187
blk14,15,0,0.7911666631698608,0.7806666493415833,0.5297382689221598,0.472903311252594
blk14,15,1,0.7852500081062317,0.7634999752044678,0.577335660352558,0.5066962242126465
blk14,15,2,0.784208357334137,0.7753333449363708,0.5842074820412352,0.47579097747802734
blk14,15,3,0.7875000238418579,0.7695000171661377,0.5807953334455102,0.48204556107521057
blk14,15,4,0.7875000238418579,0.7724999785423279,0.5669124453610016,0.49367162585258484
blk15,16,0,0.8042500019073486,0.7931666374206543,0.5492778538266063,0.4422917366027832
blk15,16,1,0.8016250133514404,0.7886666655540466,0.564549225219436,0.4578337073326111
blk15,16,2,0.7977916598320007,0.8008333444595337,0.6085791585035918,0.4336806535720825
blk15,16,3,0.8080000281333923,0.7881666421890259,0.6065044826435937,0.440378874540329
blk15,16,4,0.7994999885559082,0.7861666679382324,0.5837285688245869,0.45883265137672424
