layer,layer_idx,fold,train_acc,test_acc,test_auc,test_loss
blk0,0,0,0.7943333387374878,0.7904999852180481,0.5065372043837724,0.4286016821861267
blk0,0,1,0.7822083234786987,0.7773333191871643,0.502039230918625,0.4394110441207886
blk0,0,2,0.7995416522026062,0.7886666655540466,0.5518442710753826,0.44448891282081604
blk0,0,3,0.7910416722297668,0.7754999995231628,0.6017323722227166,0.4491070508956909
blk0,0,4,0.7977916598320007,0.7791666388511658,0.49375028671916815,0.4492727816104889
blk1,1,0,0.7700833082199097,0.7643333077430725,0.521639468371467,0.46130338311195374
blk1,1,1,0.7603749632835388,0.7581666707992554,0.565330426031533,0.4832823872566223
blk1,1,2,0.7651666402816772,0.746833324432373,0.5630077884238247,0.5065140128135681
blk1,1,3,0.7589166760444641,0.749833345413208,0.6715678034535381,0.49090465903282166
blk1,1,4,0.7684166431427002,0.7558333277702332,0.5480663659301169,0.4901863634586334
blk2,2,0,0.7060832977294922,0.699999988079071,0.6010322534128052,0.5608668327331543
blk2,2,1,0.7020000219345093,0.703000009059906,0.5437772559543778,0.5663584470748901
blk2,2,2,0.7084583044052124,0.7018333077430725,0.6111391270241497,0.5684576630592346
blk2,2,3,0.706416666507721,0.6990000009536743,0.6572780398089645,0.577406108379364
blk2,2,4,0.706250011920929,0.7013333439826965,0.6339567245202232,0.5702118873596191
blk3,3,0,0.7954583168029785,0.7928333282470703,0.508826427610075,0.43928831815719604
blk3,3,1,0.7763749957084656,0.7695000171661377,0.5857580465756811,0.46298250555992126
blk3,3,2,0.7790833115577698,0.7594999670982361,0.5833275653512372,0.4895404875278473
blk3,3,3,0.7795833349227905,0.7695000171661377,0.6920886357568746,0.47876107692718506
blk3,3,4,0.781749963760376,0.7696666717529297,0.5717593088156587,0.46599283814430237
blk4,4,0,0.8426249623298645,0.8303333520889282,0.510556864064603,0.3832131326198578
blk4,4,1,0.8300833106040955,0.8213333487510681,0.607134659863345,0.3961015045642853
blk4,4,2,0.8322916626930237,0.815833330154419,0.591986130475051,0.40992817282676697
blk4,4,3,0.831375002861023,0.8083333373069763,0.6496494714880405,0.41099151968955994
blk4,4,4,0.8410833477973938,0.825333297252655,0.5962321278385198,0.3898177146911621
blk5,5,0,0.8792916536331177,0.8539999723434448,0.5097847769659681,0.3576105833053589
blk5,5,1,0.8694583177566528,0.8493333458900452,0.5004722894118894,0.36268994212150574
blk5,5,2,0.8725833296775818,0.84416663646698,0.5339173827204441,0.36625248193740845
blk5,5,3,0.8668749928474426,0.843666672706604,0.6212611116055096,0.3658299446105957
blk5,5,4,0.8802083134651184,0.8521666526794434,0.5617126691643092,0.36092397570610046
blk6,6,0,0.8869583010673523,0.8566666841506958,0.45860471543933856,0.36429110169410706
blk6,6,1,0.875041663646698,0.8391666412353516,0.4875836437790215,0.3830143213272095
blk6,6,2,0.8725000023841858,0.8513333201408386,0.5093820348781637,0.3743698000907898
blk6,6,3,0.8801666498184204,0.8529999852180481,0.5042798427153682,0.3637484610080719
blk6,6,4,0.8863333463668823,0.8498333096504211,0.5095955348268216,0.38252392411231995
blk7,7,0,0.8837082982063293,0.8493333458900452,0.5484762545664296,0.3758288621902466
blk7,7,1,0.8715000152587891,0.8501666784286499,0.5220563569272056,0.3759058713912964
blk7,7,2,0.8735416531562805,0.8418333530426025,0.46900945619464796,0.387470543384552
blk7,7,3,0.8702083230018616,0.8424999713897705,0.5285449193965702,0.3866700828075409
blk7,7,4,0.8787083029747009,0.8413333296775818,0.532777735300864,0.3878249526023865
blk8,8,0,0.8941666483879089,0.859499990940094,0.5226999615458565,0.3663289248943329
blk8,8,1,0.8845416307449341,0.856166660785675,0.49324670280195626,0.3630905747413635
blk8,8,2,0.887458324432373,0.8581666350364685,0.5148138260178841,0.35637980699539185
blk8,8,3,0.8852916359901428,0.84416663646698,0.580931380788994,0.37608781456947327
blk8,8,4,0.8898333311080933,0.8521666526794434,0.5435706093738053,0.378048837184906
blk9,9,0,0.8956666588783264,0.8696666359901428,0.5501345895020189,0.34883609414100647
blk9,9,1,0.8892083168029785,0.8558333516120911,0.5645535761577711,0.3640376031398773
blk9,9,2,0.8942499756813049,0.8633333444595337,0.49734837623064015,0.35601499676704407
blk9,9,3,0.890666663646698,0.8606666326522827,0.6237462878915224,0.3600696921348572
blk9,9,4,0.8959166407585144,0.8650000095367432,0.4817799525957642,0.35102424025535583
blk10,10,0,0.9053750038146973,0.8703333139419556,0.5356241588156124,0.34226787090301514
blk10,10,1,0.8974166512489319,0.8650000095367432,0.4696940270838115,0.3510533273220062
blk10,10,2,0.8983749747276306,0.8683333396911621,0.6177871383887225,0.34343403577804565
blk10,10,3,0.8972916603088379,0.8659999966621399,0.6038681735931891,0.3446553647518158
blk10,10,4,0.9022083282470703,0.8686666488647461,0.593005581466473,0.34280404448509216
blk11,11,0,0.9005833268165588,0.871833324432373,0.5372043837723515,0.34418943524360657
blk11,11,1,0.8940416574478149,0.871666669845581,0.5513780257419799,0.33838194608688354
blk11,11,2,0.9003333449363708,0.8665000200271606,0.5450545321507322,0.3410995602607727
blk11,11,3,0.8960832953453064,0.8671666383743286,0.5829188626198504,0.34470316767692566
blk11,11,4,0.9025416374206543,0.859666645526886,0.5189356984478936,0.3581852912902832
blk12,12,0,0.9019166827201843,0.859499990940094,0.49665929628917516,0.35774868726730347
blk12,12,1,0.8889166712760925,0.856499969959259,0.6137467116297958,0.35001662373542786
blk12,12,2,0.8980000019073486,0.8659999966621399,0.5341151421065989,0.3434913754463196
blk12,12,3,0.8919582962989807,0.8578333258628845,0.6120653001493084,0.35026270151138306
blk12,12,4,0.8977500200271606,0.85916668176651,0.5433626424038535,0.35775765776634216
blk13,13,0,0.8916249871253967,0.8606666326522827,0.5802399778888675,0.3488183617591858
blk13,13,1,0.8844583034515381,0.8623332977294922,0.5721631737848479,0.3510858118534088
blk13,13,2,0.8927916288375854,0.8639999628067017,0.5373847639576926,0.3472824692726135
blk13,13,3,0.8888750076293945,0.8499999642372131,0.5144545631330361,0.368907630443573
blk13,13,4,0.8961250185966492,0.8551666736602783,0.5080877742946709,0.3600425124168396
blk14,14,0,0.8916249871253967,0.8575000166893005,0.5098028023457027,0.3520170748233795
blk14,14,1,0.887499988079071,0.8575000166893005,0.49057628136089976,0.35702747106552124
blk14,14,2,0.890541672706604,0.8543333411216736,0.547193629510974,0.35933437943458557
blk14,14,3,0.8861666321754456,0.8506666421890259,0.5534658980418525,0.3545493185520172
